INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCE,LMP_ENE_PRC,CATALYST_7_N002,ALL,1,6.25156,3
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCE,LMP_ENE_PRC,CATALYST_7_N002,ALL,1,56.58086,3
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,0.76212,4
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,0.3007,4
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,1.19508,4
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,0.85461,4
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,1.01421,4
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,2.06708,4
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,1.52851,4
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCL,LMP_LOSS_PRC,CATALYST_7_N002,ALL,1,1.35794,4
